action,stock,quant,cost,time
buy,a178181da870d5698784058a98e94bbeaf787abac972d96604f9116a58d77c8,53620000,49812980,2024-07-12 23:49:03+00:00
buy,3953a007ca0ac1d248726f575838d2b0b69ffccc10288e3f1f73d749b6197c7,271650000,271106700,2024-07-12 04:27:51+00:00
buy,79298c786894800d45e29a325ac3a215529336b054f3eb20335eb3e818876dd,150000000,147600000,2024-07-12 15:35:34+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,250250000,249499250,2024-08-08 22:54:18+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,1001000000,997997000,2024-08-08 20:43:47+00:00
buy,79298c786894800d45e29a325ac3a215529336b054f3eb20335eb3e818876dd,836000000,820952000,2024-07-12 21:50:01+00:00
buy,4fd1cbad45d19c5626cef1cb1e003ca872b4e0671cb4357dff3c6d9e22737f1,20680000,20638640,2024-07-12 20:34:56+00:00
buy,8b180a0739f5d0ab2197589f4e6de0ba0d5f6a8d357516f7ff7091ef3f3900b,200000000,122600000,2024-07-12 15:59:02+00:00
buy,f03ce4f993390c7b8724b0acc70b9a4d61abdd04392c8d10429392522add311,40000000,37160000,2024-07-12 17:11:32+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,250250000,249499250,2024-08-08 20:51:52+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,100890000,100486440,2024-08-08 15:11:12+00:00
buy,f03ce4f993390c7b8724b0acc70b9a4d61abdd04392c8d10429392522add311,120210000,109751730,2024-07-12 13:42:48+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,30571170000,30448885320,2024-08-08 01:52:50+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,10220000,10179120,2024-08-08 16:01:26+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,76070000,75841790,2024-08-08 20:11:17+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,13710000,13655160,2024-08-08 15:32:06+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,1000000000,996000000,2024-08-08 00:17:22+00:00
buy,b519140abc2fa56976d4d79e3ee8982d20d4ca50d17bbb0c185be5bee609c43,20610000,20445120,2024-07-12 22:01:08+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,140360000,139798560,2024-08-08 19:56:27+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,77250000,77018250,2024-08-08 20:02:19+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,256250000,255481250,2024-08-08 15:00:44+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,239250000,238293000,2024-08-08 08:51:55+00:00
buy,e894e8aec91426bbdc733b0bfb96b9b6704b9bd2b053976718a1e658bfb1bea,187000000,185504000,2024-07-12 01:51:14+00:00
buy,a7a516d1ee2c6193d27d9c040755fb6d76b5906c47cc3ef8cbeb3a0038be77f,110000000,109890000,2024-07-12 02:50:51+00:00
buy,03c8bffe5605ed296f3b5a2d10a99f438af93ac1d7d1ff7bb358d4fb19a188c,206180000,205561460,2024-07-12 21:13:33+00:00
buy,79298c786894800d45e29a325ac3a215529336b054f3eb20335eb3e818876dd,12000000,11808000,2024-07-12 14:19:32+00:00
buy,8bd2067fe9951e8d94f7c33d44bf23b6a6c21a22162e7c6b143baabdabb21bd,40000000,39960000,2024-07-12 02:49:55+00:00
buy,55e49623b2f0aecf3829a5991ffa371822cdb12e8f08e2d04b7f57ef14359e8,285060000,284489880,2024-07-12 15:10:38+00:00
buy,03c8bffe5605ed296f3b5a2d10a99f438af93ac1d7d1ff7bb358d4fb19a188c,99000000,98802000,2024-07-12 22:00:50+00:00
buy,cc96bf245f7ede8361da1e82a01faee235738f4cd676fece857cd64193f6e64,40000000,35200000,2024-07-12 02:49:57+00:00
buy,97973ffc359676c9e5c7f654cd804720e50b1d8656f0ca59d85beb75fc0cccb,50000000,37000000,2024-07-12 21:53:45+00:00
buy,06a8ad2251444d2f030d0580dbe8f43066760781871af92b385565d4b71b264,309990000,301930260,2024-07-12 07:28:22+00:00
buy,35c7f7267003e4bde2a38e6a28d1931be3aedc7d63ea8e0ab8e153c920c069b,76130000,44916700,2024-07-12 07:39:30+00:00
buy,9def1af8079b71fa44b2b121e4c86cab87e863dae9b4fd19f21b405b4c61acb,20000000,19960000,2024-07-12 20:57:33+00:00
buy,b519140abc2fa56976d4d79e3ee8982d20d4ca50d17bbb0c185be5bee609c43,12000000,11808000,2024-07-12 14:19:34+00:00
buy,47a05a3c14043dd7dfbf24fd694b52808deb89c47e3a2a7ec5754ad38673ba8,175310000,162337060,2024-07-12 08:44:44+00:00
buy,6d32e4c978201f09eddf6391538e6fa84461812198eeb8164310246f8c6afc4,6000000,5766000,2024-07-12 10:56:14+00:00
buy,79298c786894800d45e29a325ac3a215529336b054f3eb20335eb3e818876dd,43470000,42687540,2024-07-12 17:09:02+00:00
buy,55e49623b2f0aecf3829a5991ffa371822cdb12e8f08e2d04b7f57ef14359e8,889000000,887222000,2024-07-12 19:35:42+00:00
buy,4fd1cbad45d19c5626cef1cb1e003ca872b4e0671cb4357dff3c6d9e22737f1,878000000,877122000,2024-07-12 23:29:19+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,277610000,276499560,2024-08-08 21:46:18+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,419010000,417333960,2024-08-08 15:08:42+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,1484790000,1478769090,2024-08-08 15:07:50+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,33570000,33435720,2024-08-08 08:01:50+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,1147370000,1142780520,2024-08-08 04:27:16+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,10122000000,10091634000,2024-08-08 21:29:26+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,501500000,499995500,2024-08-08 22:00:56+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,180910000,180186360,2024-08-08 16:08:10+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,372230000,371485540,2024-08-08 21:35:00+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1652320000,1649015360,2024-08-08 19:29:34+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,330330000,329339010,2024-08-08 21:19:48+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,483920000,481984320,2024-08-08 04:22:50+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,244140000,243163440,2024-08-08 23:40:24+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1000000000,998000000,2024-08-08 22:41:04+00:00
buy,6d32e4c978201f09eddf6391538e6fa84461812198eeb8164310246f8c6afc4,573000000,542631000,2024-07-12 20:10:36+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,10010000,9969960,2024-08-08 16:01:02+00:00
buy,a7a516d1ee2c6193d27d9c040755fb6d76b5906c47cc3ef8cbeb3a0038be77f,31810000,31778190,2024-07-12 22:48:07+00:00
buy,ae1703966255b58c23a50927e65b6eadfa804da9867b8bc915149fb7401cfae,672000000,669312000,2024-07-12 23:11:15+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,1003000000,999927700,2024-08-08 05:36:57+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,20020000,19959940,2024-08-08 20:02:37+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,500010000,498509970,2024-08-08 22:35:46+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,25010000,24884950,2024-08-08 07:57:41+00:00
buy,1eb879a3a72ce15add21f21b840e82e3d4bc8b6cda185127597ac91d57a2b4b,672000000,666624000,2024-07-12 23:11:13+00:00
buy,13e1720a015b488b2926ae072f0c1b6c828b0d7b9afe87e190600c26f392b36,2624000000,2621376000,2024-07-12 14:20:14+00:00
buy,b519140abc2fa56976d4d79e3ee8982d20d4ca50d17bbb0c185be5bee609c43,635000000,629920000,2024-07-12 22:08:13+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,100200000,99799200,2024-08-08 22:30:52+00:00
buy,ae1703966255b58c23a50927e65b6eadfa804da9867b8bc915149fb7401cfae,89000000,88644000,2024-07-12 14:52:04+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,639670000,637750990,2024-08-08 19:56:07+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1168000000,1165664000,2024-08-08 23:36:59+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,101900000,101594300,2024-08-08 20:49:14+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,10170000,10129320,2024-08-08 16:10:18+00:00
